,zipcode,street_address,person_recovered_from_race,ucr_category
14893,40211,2200_W_Madison_St,Black,Aggravated_Assault
14895,40202,600_W_Jefferson_St,,Narcotics
14896,40204,1400_Goddard_Ave,White,Narcotics
14897,40212,300_N_42nd_St,,Wpns_Law_Violation
14898,40241,4900_Heathmoore_Ct,White,Narcotics
14900,40211,2300_W_Madison_St,,Accidental_Shooting
14901,40202,600_W_Jefferson_St,,Narcotics
14904,40202,600_W_Jefferson_St,,Narcotics
14907,40202,600_W_Jefferson_St,,Narcotics
14910,40272,6600_Ashby_Ln,White,Narcotics
14923,40272,6600_Ashby_Ln,White,Narcotics
14936,40272,6600_Ashby_Ln,White,Narcotics
14949,40272,6600_Ashby_Ln,White,Narcotics
14962,40272,6600_Ashby_Ln,White,Narcotics
14975,40272,6600_Ashby_Ln,White,Narcotics
14988,40272,6600_Ashby_Ln,White,Narcotics
15001,40272,6600_Ashby_Ln,White,Narcotics
15014,40272,6600_Ashby_Ln,White,Narcotics
15027,40272,6600_Ashby_Ln,White,Narcotics
15040,40272,6600_Ashby_Ln,White,Narcotics
15053,40272,6600_Ashby_Ln,White,Narcotics
15066,40272,6600_Ashby_Ln,White,Narcotics
15079,40216,5200_Mount_Holyoke_Dr,White,Burglary
15080,40272,7200_Dixie_Hwy,,Narcotics
15081,40202,600_W_Jefferson_St,,Robbery
15083,40210,1600_Cypress_St,Black,Wpns_Law_Violation
15085,40210,1600_Cypress_St,Black,Wpns_Law_Violation
15087,40204,9100_Beulah_Church_Rd,,Aggravated_Assault
15088,40204,800_Barret_Ave,,Aggravated_Assault
15090,40291,9100_Beulah_Church_Rd,,Aggravated_Assault
15091,40291,800_Barret_Ave,,Aggravated_Assault
15093,40291,9100_Beulah_Church_Rd,,Aggravated_Assault
15094,40291,800_Barret_Ave,,Aggravated_Assault
15096,,4100_Hillview_Ave,Black,Wpns_Law_Violation
15097,40218,3600_Green_Meadows_Dr,,Vandalism
15098,40202,600_S_4th_St,Black,Wpns_Law_Violation
15099,40203,1100_W_Jefferson_St,Black,Wpns_Law_Violation
15100,40203,500_E_Oak_St,Black,Wpns_Law_Violation
15103,40203,1000_S_Jackson_St,Black,Narcotics
15106,40202,600_W_Jefferson_St,Black,Wpns_Law_Violation
15108,40202,600_W_Jefferson_St,Black,Wpns_Law_Violation
15112,40211,1000_S_32nd_St,Black,Wpns_Law_Violation
15114,40202,100_N_4th_St,Black,Wpns_Law_Violation
15115,40215,1500_W_Ashland_Ave,Black,Aggravated_Assault
15117,40215,1500_W_Ashland_Ave,Black,Aggravated_Assault
15119,40202,600_W_Jefferson_St,Black,Narcotics
15120,40215,900_Camden_Ave,White,Aggravated_Assault
15122,40213,1500_Belmar_Dr,White,Burglary
15123,40203,300_S_11th_St,Black,Narcotics
15125,40216,2400_Farnsley_Rd,Black,Narcotics
15126,40206,1500_Frankfort_Ave,,Burglary
15130,40206,1500_Frankfort_Ave,,Burglary
15134,40206,1500_Frankfort_Ave,,Burglary
15138,40206,1500_Frankfort_Ave,,Burglary
15142,40023,15200_Taylorsville_Rd,White,Burglary
15146,40023,15200_Taylorsville_Rd,White,Burglary
15150,40023,15200_Taylorsville_Rd,White,Burglary
15154,40023,15200_Taylorsville_Rd,White,Burglary
15158,40210,1600_Cypress_St,Black,Wpns_Law_Violation
15159,40210,1600_Cypress_St,Black,Wpns_Law_Violation
15160,40202,600_W_Jefferson_St,Black,Stolen_Property
15164,40202,600_W_Jefferson_St,Black,Stolen_Property
15168,40202,600_W_Jefferson_St,Black,Stolen_Property
15172,40202,600_W_Jefferson_St,Black,Stolen_Property
15177,40202,600_W_Jefferson_St,,Robbery
15179,40202,600_W_Jefferson_St,Black,Wpns_Law_Violation
15180,40211,3000_W_Broadway,Black,Wpns_Law_Violation
15181,40202,600_W_Jefferson_St,,Wpns_Law_Violation
15184,40241,2800_Westport_Cir,Black,Narcotics
15186,40241,2800_Westport_Cir,Black,Narcotics
15188,40218,3700_Klondike_Ln,White,Narcotics
15212,40218,3700_Klondike_Ln,White,Narcotics
15236,40218,3700_Klondike_Ln,White,Narcotics
15260,40218,3700_Klondike_Ln,White,Narcotics
15284,40218,3700_Klondike_Ln,White,Narcotics
15285,40218,3700_Klondike_Ln,White,Narcotics
15288,40218,3700_Klondike_Ln,White,Narcotics
15291,40218,3700_Klondike_Ln,White,Narcotics
15294,40218,3700_Klondike_Ln,White,Narcotics
15296,40218,3700_Klondike_Ln,White,Narcotics
15302,40218,3700_Klondike_Ln,White,Narcotics
15303,40218,3700_Klondike_Ln,White,Narcotics
15308,40218,3700_Klondike_Ln,White,Narcotics
15309,40218,3700_Klondike_Ln,White,Narcotics
15312,40218,3700_Klondike_Ln,White,Narcotics
15315,40218,3700_Klondike_Ln,White,Narcotics
15318,40218,3700_Klondike_Ln,White,Narcotics
15320,40218,3700_Klondike_Ln,White,Narcotics
15326,40218,3700_Klondike_Ln,White,Narcotics
15327,40218,3700_Klondike_Ln,White,Narcotics
15332,40218,3700_Klondike_Ln,White,Narcotics
15356,40218,3700_Klondike_Ln,White,Narcotics
15380,40218,3700_Klondike_Ln,White,Narcotics
15404,40218,3700_Klondike_Ln,White,Narcotics
15405,40218,3700_Klondike_Ln,White,Narcotics
15408,40218,3700_Klondike_Ln,White,Narcotics
15411,40218,3700_Klondike_Ln,White,Narcotics
15414,40218,3700_Klondike_Ln,White,Narcotics
15416,40218,3700_Klondike_Ln,White,Narcotics
15422,40218,3700_Klondike_Ln,White,Narcotics
15423,40218,3700_Klondike_Ln,White,Narcotics
15428,40218,3700_Klondike_Ln,White,Narcotics
15452,40218,3700_Klondike_Ln,White,Narcotics
15476,40218,3700_Klondike_Ln,White,Narcotics
15500,40218,3700_Klondike_Ln,White,Narcotics
15524,40218,3700_Klondike_Ln,White,Narcotics
15548,40218,3700_Klondike_Ln,White,Narcotics
15572,40218,3700_Klondike_Ln,White,Narcotics
15596,40218,3700_Klondike_Ln,White,Narcotics
15620,40218,3700_Klondike_Ln,White,Narcotics
15644,40218,3700_Klondike_Ln,White,Narcotics
15668,40218,3700_Klondike_Ln,White,Narcotics
15669,40218,3700_Klondike_Ln,White,Narcotics
15672,40218,3700_Klondike_Ln,White,Narcotics
15675,40218,3700_Klondike_Ln,White,Narcotics
15678,40218,3700_Klondike_Ln,White,Narcotics
15680,40218,3700_Klondike_Ln,White,Narcotics
15686,40218,3700_Klondike_Ln,White,Narcotics
15687,40218,3700_Klondike_Ln,White,Narcotics
15692,40218,3700_Klondike_Ln,White,Narcotics
15716,40218,3700_Klondike_Ln,White,Narcotics
15717,40218,3700_Klondike_Ln,White,Narcotics
15720,40218,3700_Klondike_Ln,White,Narcotics
15723,40218,3700_Klondike_Ln,White,Narcotics
15726,40218,3700_Klondike_Ln,White,Narcotics
15728,40218,3700_Klondike_Ln,White,Narcotics
15734,40218,3700_Klondike_Ln,White,Narcotics
15735,40218,3700_Klondike_Ln,White,Narcotics
15740,40218,3700_Klondike_Ln,White,Narcotics
15764,40204,600_Baxter_Ave,Black,Wpns_Law_Violation
15765,40202,600_W_Jefferson_St,Black,Robbery
15766,40202,600_W_Jefferson_St,White,Aggravated_Assault
15767,40272,9700_Leopold_Ct,Black,Narcotics
